"Category Index","Sub-Category Index","Product Name","href link"
"0","0","SKINSHEEN BRONZER STICK","https://demo.abantecart.com/index.php?rt=product/product&product_id=50"
"0","0","L'EXTRÊME INSTANT EXTENSIONS LENGTHENING MASCARA","https://demo.abantecart.com/index.php?rt=product/product&product_id=54"
"0","0","TROPIQUES MINERALE LOOSE BRONZER","https://demo.abantecart.com/index.php?rt=product/product&product_id=53"
"0","0","WATERPROOF PROTECTIVE UNDEREYE CONCEALER","https://demo.abantecart.com/index.php?rt=product/product&product_id=56"
"0","0","ABSOLUTE ANTI-AGE SPOT REPLENISHING UNIFYING TREATMENTSPF 15","https://demo.abantecart.com/index.php?rt=product/product&product_id=68"
"0","0","ABSOLUE EYE PRECIOUS CELLS","https://demo.abantecart.com/index.php?rt=product/product&product_id=65"
"0","0","TOTAL MOISTURE FACIAL CREAM","https://demo.abantecart.com/index.php?rt=product/product&product_id=66"
"0","0","FLASH BRONZER BODY GEL","https://demo.abantecart.com/index.php?rt=product/product&product_id=67"
"0","0","CALVIN KLEIN OBSESSION FOR WOMEN EDP SPRAY","https://demo.abantecart.com/index.php?rt=product/product&product_id=104"
"0","0","CK IN2U EAU DE TOILETTE SPRAY FOR HIM","https://demo.abantecart.com/index.php?rt=product/product&product_id=78"
"0","0","TROPIQUES MINERALE LOOSE BRONZER","https://demo.abantecart.com/index.php?rt=product/product&product_id=53"
"0","0","SEAWEED CONDITIONER","https://demo.abantecart.com/index.php?rt=product/product&product_id=69"
"0","0","ABSOLUE EYE PRECIOUS CELLS","https://demo.abantecart.com/index.php?rt=product/product&product_id=65"
"0","0","ACQUA DI GIO POUR HOMME","https://demo.abantecart.com/index.php?rt=product/product&product_id=80"
"0","0","BENEFIT GIRL MEETS PEARL","https://demo.abantecart.com/index.php?rt=product/product&product_id=51"
"0","0","BRUNETTE EXPRESSIONS CONDITIONER","https://demo.abantecart.com/index.php?rt=product/product&product_id=72"
"1","1","FIORELLA PURPLE PEEP TOES","https://demo.abantecart.com/index.php?rt=product/product&path=68_69&product_id=115"
"1","1","NEW LADIES HIGH WEDGE HEEL TOE THONG DIAMANTE FLIP FLOP SANDALS","https://demo.abantecart.com/index.php?rt=product/product&path=68_69&product_id=116"
"1","1","RUBY SHOO WOMENS JADA T-BAR","https://demo.abantecart.com/index.php?rt=product/product&path=68_69&product_id=117"
"1","1","WOMENS HIGH HEEL POINT TOE STILETTO SANDALS ANKLE STRAP COURT SHOES","https://demo.abantecart.com/index.php?rt=product/product&path=68_69&product_id=118"
"1","2","FRUIT OF THE LOOM T-SHIRTS 5 PACK - SUPER PREMIUM","https://demo.abantecart.com/index.php?rt=product/product&path=68_70&product_id=119"
"1","2","PRODUCT WITH OPTIONS AND STOCK LOCATIONS","https://demo.abantecart.com/index.php?rt=product/product&path=68_70&product_id=122"
"1","2","CASUAL 3/4 SLEEVE BASEBALL T-SHIRT","https://demo.abantecart.com/index.php?rt=product/product&path=68_70&product_id=123"
"1","2","JERSEY COTTON STRIPED POLO SHIRT","https://demo.abantecart.com/index.php?rt=product/product&path=68_70&product_id=120"
"1","2","DESIGNER MEN CASUAL FORMAL DOUBLE CUFFS GRANDAD BAND COLLAR SHIRT ELEGANT TIE","https://demo.abantecart.com/index.php?rt=product/product&path=68_70&product_id=121"
"2","1","SKINSHEEN BRONZER STICK","https://demo.abantecart.com/index.php?rt=product/product&path=36_40&product_id=50"
"2","1","TROPIQUES MINERALE LOOSE BRONZER","https://demo.abantecart.com/index.php?rt=product/product&path=36_40&product_id=53"
"2","1","BENEFIT BELLA BAMBA","https://demo.abantecart.com/index.php?rt=product/product&path=36_40&product_id=52"
"2","1","BENEFIT GIRL MEETS PEARL","https://demo.abantecart.com/index.php?rt=product/product&path=36_40&product_id=51"
"2","2","LANCOME HYPNOSE DOLL LASHES MASCARA 4-PIECE GIFT SET","https://demo.abantecart.com/index.php?rt=product/product&path=36_39&product_id=108"
"2","2","WATERPROOF PROTECTIVE UNDEREYE CONCEALER","https://demo.abantecart.com/index.php?rt=product/product&path=36_39&product_id=56"
"2","2","L'EXTRÊME INSTANT EXTENSIONS LENGTHENING MASCARA","https://demo.abantecart.com/index.php?rt=product/product&path=36_39&product_id=54"
"2","3","PRODUCT WITH STOCK LOCATIONS","https://demo.abantecart.com/index.php?rt=product/product&path=36_38&product_id=58"
